0.2926194255,0.5191710364,0.1390924756,0.7381226571,0.4819351691
0.9509183079,0.6626726160,0.4553777904,0.8271080519,0.9276648844
0.1637191663,0.6718407706,0.3091356135,0.6712913990,0.1576565579
0.2466162753,0.4939126458,0.2842205452,0.4396346615,0.8274376886
0.7314600865,0.7738495255,0.7070765681,0.1782086874,0.4526848668
0.9847766086,0.4141571567,0.9748795301,0.3025255297,0.6688033193
0.6886041994,0.3519355588,0.2356910344,0.5689144647,0.0170811389
0.4685309717,0.5859179631,0.7336228629,0.6412841072,0.4074301612
0.3766888725,0.6500626855,0.1984606494,0.9055535819,0.1058014038
0.7254382947,0.5430900948,0.0627788599,0.3294271295,0.0466221335
